TitreId,filmoId,typeTitreId,prefixe,titre
1,3,1,,Hannah et ses soeurs
2,5,1,La,Liste noire
3,6,1,,Talons aiguilles
4,6,1,,High Heels
5,7,1,,Hit Man
6,10,1,,Ta mère ou moi!
7,11,1,,Scènes de ménage dans un centre commercial
9,15,1,,Ange
10,18,1,,Angel
11,20,1,,M le maudit
12,20,1,,M Dein Morder Sieht Dich an
13,20,1,,City in Search of a Murderer
14,20,1,,M Eine Stadtsucht Einen Moider
15,20,1,,M une ville cherche un assassin
16,20,1,,M ton assassin te regarde
17,21,1,Le,Cabinet du docteur Ramirez
20,24,1,,Nuage-paradis
21,25,1,,Un thé au Sahara
22,25,1,Il,Tè nel deserto
24,30,1,The,Gods
25,30,1,,Dieu du tonnerre
27,36,1,,Pensées mortelles
28,37,1,,Paysage avec femme
29,38,1,The,Man Who Planted Trees
30,39,1,,Danse avec les loups
32,41,1,Le,Raccourci
33,42,1,Les,Anges de la nuit
34,45,1,La,Relève
35,49,1,,Dans la peau d'une blonde
36,52,1,L',Halluciné
37,53,1,La,Plainte de l'impératrice
38,54,1,,"Quoi de neuf, Bob?"
39,55,1,,Jack le liquidateur
40,55,1,,Larry le liquidateur
41,56,1,,Mother
42,57,1,,Fievel au Far West
44,59,1,,Une nuit sur terre
47,63,1,Les,Indomptés
48,63,1,,Mobsters
49,66,1,,Un été en Louisiane
50,67,1,,Une virée d'enfer
51,71,1,,Rage
52,73,1,L',Enfant du tunnel
53,74,1,L',Expert en sinistres
55,79,1,,Harley Davidson et l'homme aux santiags
56,80,1,Le,Prix de l'exploit
57,84,1,,Lawrence d'Arabie
58,85,1,,Pleine lune sur Parador
59,88,1,L',Homme qui voulut être roi
60,88,1,Der,"Mann, der König sein Wollte"
63,90,1,La,Revanche du Capitaine Crochet
64,90,1,,Capitaine Crochet
73,97,1,La,Ronde de l'aube
74,101,1,,Gros plan
75,101,1,,Close-Up
76,101,1,,Namay-e nazdik
77,101,1,,Nema-ye nazdik
78,101,1,,Kloz âp
79,102,1,,Où le soleil est froid
80,108,1,Le,Fer et la soie
81,109,1,,Homework
82,109,1,,Masgh e shab
83,109,1,,Mashq-e shab
84,109,1,,Devoirs à la maison
85,109,1,,Devoirs du soir
86,111,1,,Extrême limite
87,112,1,The,Armour of God II : Operation Condor
88,112,1,,Jackie Chan - Opération condor
92,123,1,,Rose passion
94,125,1,,Freud quitte la maison
95,125,1,,Freud flittar hemifran
96,125,1,,Freud Leaving Home
97,127,1,,"V.I. Warshawski, un privé en escarpins"
98,129,1,,Day for Night
99,129,1,La,Noche americana
100,129,1,A,Noite americana
104,131,1,The,Woman Next Door
105,132,1,,Shoot the Piano Player
107,134,1,,Jules and Jim
108,135,1,The,Last Metro
109,136,1,,Stolen Kisses
114,138,1,The,Bride Wore Black
115,139,1,,Such a Gorgeous Kid Like Me
116,139,1,A,Gorgeous Bird Like Me
117,139,1,Una,Chica tan decente como yo
118,140,1,,Farenheit 451
119,141,1,The,Mississippi Mermaid
120,141,1,,Mississippi Mermaid
121,142,1,,Bed and Board
122,142,1,,Domicilio conyugal
123,142,1,,Elsker-Elsker ikke
124,143,1,,O Menino selvagem
125,143,1,Il,Ragazzo selvaggio
126,143,1,The,Wild Child
127,143,1,El,Nino salvage
128,144,1,,Adèle H.
129,144,1,The,Story of Adèle H.
130,145,1,,Spending Money
131,145,1,,Pocket Money
132,145,1,,Small Change
133,146,1,,Love on the Run
134,147,1,The,Man Who Loved Women
135,148,1,The,Green Room
136,149,1,,Confidentially Yours
137,151,1,,Croc-blanc
138,154,1,,Jusqu'au bout du monde
139,154,1,,Until the End of the World
142,156,1,L',Amour avec des gants
143,157,1,,À propos d'Henry
144,159,1,,Terminator 2 : Le jugement dernier
145,159,1,,Terminator II : Tag der Abrechung
146,159,1,,Terminator II
147,159,1,,Terminator 2 : Il giorno del giudizio
148,160,1,,À fleur de peau
149,162,1,,Troubles
150,164,1,Le,Choix d'aimer
151,168,1,La,Mort d'un maître de thé
152,169,1,Le,Roi des roses
153,170,1,,Martha et moi
154,172,1,Le,Prix d'une vie
155,173,1,Les,Yeux d'un ange
156,179,1,La,Tentation de Vénus
157,182,1,,Laafi - tout va bien
160,185,1,,Retour au lagon bleu
161,186,1,La,Chanteuse et le milliardaire
162,188,1,,Un dieu rebelle
163,190,1,Les,Frères Krays
164,191,1,La,Reine des pommes
165,193,1,Le,Procès du roi
166,194,1,,Navy Seals les meilleurs
167,197,1,,FX 2 - Effets très spéciaux
168,198,1,L',Embrouille est dans le sac
169,199,1,,Complot de famille
170,199,1,,Familiengrab
175,202,1,,Désigné pour mourir
176,204,1,,"Robin des bois, prince des voleurs"
177,206,1,,Chicago Joe et la showgirl
178,207,1,,Chienne de vie
180,210,1,,Acte d'amour
181,211,1,,Fatal Games
182,212,1,,Ralph Super king
183,213,1,Les,Feebles
184,215,1,,Ce cher intrus
185,216,1,,Envoyé spécial
186,217,1,,Un look d'enfer
187,218,1,,"Danny, le champion du monde"
188,219,1,Les,Tortues ninja II - Les héros sont de retour
189,220,1,Les,Vies de Loulou
190,221,1,,Rien à perdre
191,222,1,La,Créature du cimetière
193,224,1,L',Affaire Wallraff
194,225,1,,Leatherface : massacre à la tronçonneuse
196,227,1,L',Arme parfaite
197,228,1,,Agent X 27
198,230,1,Les,Marrrtiens!
199,231,1,,Personne n'est parfaite
200,232,1,,Junior le Terrible
201,233,1,,All the King's Men
202,233,1,,T'ien sia ti yi
203,234,1,,Un baiser avant de mourir
204,238,1,,Julia a deux amants
205,239,1,Les,Ailes de la renommée
206,240,1,L',Interrogatoire
207,244,1,,Robin des bois
208,245,1,Les,Péchés mortels
209,245,1,,Halcyon Days
210,246,1,Le,Montreur d'ombres
211,246,1,,Master of the Shadows
212,247,1,La,Main sur le berceau
213,247,1,La,Main qui berce l'enfant
214,248,1,,Broken Heart
215,249,1,Le,Dossier Adams
216,250,1,Le,Cercle des poètes disparus
217,252,1,Le,Monde
218,252,1,Le,Monde est à l'envers
219,253,1,The,Last Glacier
220,256,1,,Chauffeur de taxi
221,257,1,Le,Grand sommeil
224,259,1,,Week-end chez Bernie's
225,260,1,,Dans la soirée
226,261,1,,Strada blues
227,263,1,,Hudson Hawk gentleman et cambrioleur
228,265,1,Le,Dossier Rachel
229,266,1,La,Bande à Picsou : le film - Le trésor de la lampe perdue
230,267,1,Le,Joyau de la couronne
231,269,1,La,"Vie, l'amour... les vaches"
232,271,1,La,Malédiction 4
233,271,1,La,Malédiction IV
234,272,1,Les,Commitments
235,272,1,Die,Commitments
237,277,1,La,Terre des pharaons
238,277,1,,Land of Pharaohs
239,280,1,Les,Nerfs à vif
241,285,1,La,Ballade des sans-espoir
243,289,1,,Jeux d'été
244,289,1,,Summer Interlude
245,289,1,,Illicit Interlude
246,292,1,,New Wave
249,299,1,,Pat Garrett y Billy el Nino
250,299,1,,Pat Garrett Jagt Billy the Kid
253,301,1,Les,Oiseaux
254,302,1,,Chantage
255,305,1,La,Loi du silence
256,306,1,,Lui...
257,306,1,Le,Souvenir de lui
258,307,1,,Frénésie
260,309,1,L',Homme qui en savait trop
261,310,1,Les,Cheveux d'or
262,310,1,The,Lodger : a Study of the London Fog
263,310,1,The,Case of Jonathan Drew
264,312,1,,Une femme disparaît
265,312,1,,Eine Dame Verschwinded
266,313,1,L',Auberge de la Jamaïque
267,314,1,Les,Enchaînés
268,315,1,La,Mort aux trousses
269,317,1,,Joies matrimoniales
270,318,1,,Pas de printemps pour Marnie
272,322,1,,Fenêtre sur cour
273,323,1,,Psychose
274,324,1,Le,Procès Paradine
275,325,1,,No 17
276,325,1,,Numéro 17
277,325,1,,Number 17
278,326,1,La,Maison du docteur Edwardes
279,326,1,La,Maison du Dr Edwardes
280,328,1,L',Ombre d'un doute
281,329,1,,Quatre de l'espionnage
283,331,1,,Agent secret
284,331,1,The,Woman Alone
285,332,1,La,Corde
286,333,1,,Mais qui a tué Harry?
287,333,1,,Qui a tué Harry?
288,334,1,Le,Rideau déchiré
289,335,1,L',Étau
290,336,1,La,Main au collet
291,337,1,Les,Trente-neuf marches
292,337,1,Les,39 marches
293,337,1,The,Thirty-Nine Steps
294,338,1,,Soupçons
295,338,1,,Mistanken
296,339,1,L',Inconnu du Nord-Express
297,340,1,Le,Grand alibi
298,340,1,,Stagefright
299,341,1,,Jeune et innocent
300,341,1,The,Girl Was Young
301,342,1,Le,Faux coupable
303,344,1,,Sueurs froides
304,345,1,Les,Amants du Capricorne
305,345,1,,Sol o signo de capricornio
306,346,1,Les,Quatre filles du docteur March
307,352,1,Der,Coup
308,352,1,Los,Ladrones
309,352,1,The,Burglars
310,354,1,The,Aviator's Wife
311,362,1,,Veuve mais pas trop
312,363,1,L',Ennemi du peuple
313,363,1,An,Enemy of the People
314,363,1,,Un ennemi du peuple
317,370,1,Le,Fantôme de l'Opéra
319,373,1,La,Grande combine
320,373,1,,Meet Whiplash Willie
323,378,1,La,Citadelle
324,379,1,Le,Champion
325,381,1,L',Oiseau du paradis
327,383,1,La,Grande parade
328,384,1,La,Garce
329,385,1,La,Romance américaine
330,386,1,,Ariane
331,387,1,L',Homme qui n'a pas d'étoile
332,389,1,The,Voice of the Moon
333,389,1,La,Voix de la lune
334,389,1,Die,Stimme des Mondes
335,389,1,,Voices of the Moon
336,396,1,Le,Rebelle
337,397,1,,Duel au soleil
338,400,1,La,Foule
339,404,1,,Nuit de noces
340,405,1,,Guerre et paix
341,406,1,La,Légion des damnés
342,410,1,,Salomon et la reine de Saba
343,412,1,,Mirages
344,413,1,La,Furie du désir
345,414,1,,Une gamine charmante
346,415,1,,Notre pain quotidien
347,417,1,Le,Grand passage
348,417,1,,North-West Passage
349,420,1,,Club Extinction
350,424,1,Le,Fantôme de l'Opéra
352,429,1,,Charlot fait du ciné
355,432,1,Le,Cirque
356,433,1,Les,Lumières de la ville
358,435,1,,Charlot policeman
359,436,1,La,Ruée vers l'or
360,437,1,Le,Dictateur
361,438,1,La,Classe oisive
362,438,1,,Charlot et le masque de fer
368,442,1,Les,Feux de la rampe
371,445,1,,Jour de paye
372,445,1,,Payday
373,446,1,Le,Pélerin
374,447,1,,Charlot soldat
375,448,1,,Charlot musicien
376,448,1,,Charlot violoniste
377,449,1,L',Opinion publique
378,450,1,,Face to Face
379,450,1,,Face à face
380,450,1,,Von Angesicht zu Angesicht
381,451,1,The,Face
382,451,1,Le,Visage
383,451,1,The,Magician
384,452,1,,De la vie des marionnettes
385,452,1,,From the Life of the Marionettes
386,452,1,,From the Life of Marionnettes
387,453,1,,Djaäulens Öga
388,453,1,L',Oeil du diable
389,453,1,The,Devil's Eye
393,455,1,,Prison
394,455,1,The,Devil's Wanton
395,456,1,,Fanny et Alexandre
396,456,1,,Fanny and Alexander
397,457,1,,Faro 1979
398,457,1,,Farö-dokument
399,457,1,,Faro Document
400,457,1,,Mon île
401,457,1,,"Mon île, Faro"
402,458,1,,Toutes ces femmes
403,458,1,,Toutes ses femmes
404,458,1,,Pour ne pas parler de toutes ses femmes
405,458,1,,All these Women
406,458,1,,Now about these Women
407,458,1,,Not to Speak about All These Women
413,460,1,,Ville de tueurs
414,460,1,,Ville portuaire
415,460,1,,Port of Call
416,461,1,,Sonate d'automne
417,461,1,,Autumn Sonata
418,461,1,,Hutumn Sonata
419,461,1,,Herbstsonat
420,461,1,,Höstsonat
421,461,1,,Hostsonaten
422,461,1,,Hostsomaten
423,461,1,,Hostsomaken
424,462,1,La,Source
425,462,1,La,Fontaine de la jeune vierge
426,462,1,The,Virgin Spring
427,463,1,,Kvinnodrö
428,463,1,,Rêves de femmes
429,463,1,,Dreams
430,463,1,,Journey into Autumn
431,464,1,L',Attente des femmes
432,464,1,,Waiting Women
433,464,1,,Secrets of Women
434,465,1,,Musique dans les ténèbres
435,465,1,,Musique dans le noir
436,465,1,,Night is my Future
437,466,1,,Au seuil de la vie
438,466,1,,So Close to Life
439,466,1,,Brink of Life
440,467,1,Les,Communiants
441,467,1,,Lumière d'hiver
442,467,1,Les,Invités de la communion
443,467,1,,Nattvardsgästerna
444,467,1,,Winter Light
445,467,1,The,Communicants
446,467,1,,Nattvards gästerna
447,467,1,,Natvards gästerna
452,470,1,The,Lie
453,471,1,Le,Rite
454,471,1,The,Ritual
455,471,1,The,Rite
463,475,1,Le,Septième sceau
464,475,1,The,Seventh Seal
465,476,1,La,Honte
466,476,1,The,Shame
467,476,1,,Shame
468,477,1,L',Éternel mirage
469,477,1,,Bateau pour les Indes
470,477,1,Le,Port des filles perdues
471,477,1,A,Ship to India
472,477,1,,Skep Till Indialand
473,477,1,The,Land of Desire
474,477,1,,Frustration
475,478,1,Les,Fraises sauvages
476,478,1,,Wild Strawberries
477,479,1,,Un été avec Monika
478,479,1,,Monika et le désir
479,479,1,,Summer with Monika
480,479,1,,Monika
481,481,1,,Sourires d'une nuit d'été
482,481,1,,Smiles of a Summer Night
483,481,1,,Letni sen
484,483,1,,Vers la joie
485,483,1,,Vers la félicité
486,483,1,,Towars Joy
487,483,1,,To Joy
488,484,1,La,Soif
489,484,1,La,Fontaine d'Aréthuse
490,484,1,,Thirst
491,484,1,,Three Strange Loves
492,485,1,,El Toque
493,485,1,,Il Contatto
494,485,1,Le,Lien
495,485,1,,Beröringen
496,485,1,Le,Contact
497,486,1,Die,Zauber Flöte
498,486,1,Die,Zauberflöte
499,486,1,La,Flûte enchantée
500,486,1,The,Magic Flute
501,487,1,Les,Mercenaires de Rio Grande
502,489,1,Le,Silence
503,489,1,The,Silence
504,490,1,,Second Breath
505,492,1,L',Heure du loup
506,492,1,,Hour of the Wolf
507,493,1,,Sussurri e grida
508,493,1,,Whispering and Cries
509,493,1,,Gill
510,493,1,,Gritos y murmullos
511,493,1,,Whispers and Cries
512,493,1,,Cris et chuchotements
513,493,1,,Cries and Whispers
514,495,1,,Idaho
524,506,1,Les,Ailes du désir
525,506,1,The,Sky over Berlin
526,506,1,,Wings of Desire
527,507,1,,Lettre d'amour en Somalie
528,508,1,The,Swindle
529,508,1,L',Arnaque
530,508,1,The,Swindlers
531,509,1,,Voyageur malgré lui
533,511,1,,Barberousse
534,511,1,,Red Beard
538,513,1,Der,Kirgise Uzala
539,513,1,,Dersou Ouzala
540,513,1,L',Aigle de la taïga
541,514,1,,Dodesukaden
542,514,1,,Dodes'caden
543,514,1,,Dodes'kaden
544,514,1,,Dodes kaden
545,514,1,,Dodeskaden
546,515,1,The,Lower Depths
547,515,1,Les,Bas-fonds
549,517,1,,To Live
550,517,1,,Doomed
551,517,1,,Vivre
552,518,1,,Most Beautifully
553,518,1,Le,Plus beau
554,518,1,The,Most Beautiful
555,519,1,,Ikimono no koroku
556,519,1,,Chronique d'un être vivant
557,519,1,,Vivre dans la peur
558,519,1,,Si les oiseaux savaient
559,519,1,,I Live in Fear
