FilmoGenresCategoriesID,filmoId,sujetId
1,57864,3657
2,17645,12629
4,6476,12629
5,22784,12629
7,10125,12629
9,24633,12629
10,24632,12629
12,8060,12629
14,14335,12629
15,24705,12629
16,22152,12629
17,24707,12629
18,24706,12629
20,32291,12629
21,700,12629
22,11839,12629
23,13984,12629
25,22660,12629
26,35149,12629
27,13874,12629
28,24851,12629
29,8491,12629
31,16694,12629
32,24853,12629
33,24856,12629
34,14020,12629
35,24869,12629
37,13545,12629
38,23699,12629
39,24881,12629
40,9188,12629
42,24891,12629
44,58065,12629
45,11425,12629
47,24953,12629
51,15828,12629
53,32344,12629
54,32347,12629
56,12256,12629
57,3003,12629
58,382,12629
59,22664,12629
61,25028,12629
62,25030,12629
63,25036,12629
64,8784,12629
66,14241,12629
68,696,12629
71,25169,12629
73,25189,12629
75,25203,12629
76,6475,12629
78,33549,12629
79,25208,12629
80,22712,12629
81,25213,12629
82,25217,12629
83,32401,12629
85,3050,12629
86,25278,12629
87,25282,12629
88,32407,12629
89,25312,12629
91,51782,12629
93,25398,12629
94,25399,12629
95,22073,12629
96,56981,12629
97,25412,12629
98,25480,12629
99,11949,12629
100,3468,12629
101,693,12629
102,8214,12629
103,23514,12629
104,12221,12629
105,6338,12629
106,25555,12629
107,9905,12629
108,32442,12629
109,45478,12629
110,8215,12629
112,12130,12629
113,23551,12629
115,25728,12629
117,10113,12629
118,32464,12629
119,16491,12629
121,32473,12629
124,12188,12629
125,25853,12629
126,10104,12629
127,12165,12629
129,2563,12629
130,25954,12629
131,25957,12629
132,17810,12629
133,25973,12629
134,25974,12629
135,12215,12629
136,23676,12629
137,4205,12629
139,6850,12629
140,12099,12629
141,6452,12629
142,37017,12629
144,26240,12629
145,26255,12629
146,26274,12629
147,12919,12629
148,32528,12629
149,26284,12629
150,1185,12629
151,26511,12629
152,33750,12629
153,32557,12629
154,32561,12629
155,10133,12629
156,12251,12629
157,12142,12629
159,10168,12629
160,26883,12629
162,14349,12629
166,16894,12629
167,1456,12629
170,641,12629
171,6467,12629
173,15142,12629
174,16063,12629
175,22785,12629
179,3430,12629
180,9058,12629
181,3442,12629
184,6444,12629
185,3444,12629
188,2754,12629
189,3533,12629
191,4211,12629
192,6478,12629
193,32769,12629
194,32770,12629
195,12104,12629
196,7049,12629
197,2561,12629
198,23025,12629
199,14257,12629
200,16759,12629
202,6449,12629
203,4141,12629
204,690,12629
205,9823,12629
207,6465,12629
208,3537,12629
210,3513,12629
212,5808,12629
213,12853,12629
214,12168,12629
215,719,12629
218,2559,12629
219,733,12629
223,12145,12629
225,6259,12629
226,12519,12629
227,12183,12629
228,7656,12629
230,12227,12629
231,12239,12629
232,12240,12629
233,6447,12629
235,10111,12629
236,417,12629
237,23815,12629
238,3297,12629
240,30582,12629
241,21658,12629
242,11707,12629
243,32989,12629
244,30592,12629
245,12242,12629
246,695,12629
247,1699,12629
250,2749,12629
251,21718,12629
