filmoId,paysId
3,94
5,94
6,91
6,105
7,94
8,94
9,105
10,94
11,94
12,94
13,94
14,105
15,94
16,139
17,105
18,105
19,105
19,255
20,6
21,6
21,94
22,105
23,216
24,279
25,142
25,227
26,105
26,114
26,142
26,255
27,105
28,105
29,105
30,245
31,94
32,105
33,105
34,49
35,94
36,94
37,296
38,216
39,94
40,216
41,105
41,142
42,94
43,94
43,227
44,94
45,94
46,105
47,105
48,105
49,94
50,144
51,105
52,94
53,6
53,105
54,94
55,94
56,105
57,94
58,216
59,94
60,94
61,105
61,142
62,105
63,94
64,105
65,105
66,94
67,94
68,105
68,142
69,105
70,176
71,94
72,105
73,23
74,49
75,105
76,94
76,105
77,216
78,94
79,94
80,94
81,49
81,105
82,94
83,94
84,94
84,227
85,94
86,94
87,105
88,94
89,105
90,94
91,91
92,94
93,105
94,227
95,105
95,279
96,94
97,94
98,105
99,105
100,105
101,137
102,6
102,226
103,105
104,105
105,94
106,227
107,105
108,94
109,137
110,105
111,94
112,129
113,227
113,255
113,276
114,22
115,6
115,23
116,30
116,91
116,105
116,255
117,94
117,227
118,94
119,6
119,83
119,105
119,254
119,255
120,105
121,105
122,91
122,105
122,255
123,94
124,105
124,142
125,83
125,254
126,94
127,94
128,105
129,105
129,142
130,105
131,105
132,105
133,105
133,214
134,105
135,105
136,105
137,105
138,105
138,142
139,105
140,227
141,105
142,105
142,142
143,105
144,105
145,105
146,105
147,105
148,105
149,105
150,91
150,176
151,94
152,105
153,105
154,6
154,22
154,105
155,18
155,216
156,142
157,94
158,105
159,94
160,94
161,105
161,227
162,94
163,134
164,94
165,105
165,142
166,94
167,94
168,144
169,6
169,105
169,207
169,214
170,7
170,105
171,94
172,105
172,142
173,94
174,105
174,279
175,91
175,105
175,142
176,94
177,94
178,30
178,105
178,255
179,227
180,91
180,142
181,94
182,44
182,255
183,105
183,141
183,279
184,94
185,94
186,94
187,94
188,7
188,105
188,255
188,279
189,105
190,227
191,227
192,94
193,105
193,214
194,94
195,105
196,94
197,94
198,94
199,94
200,94
201,105
201,216
202,94
203,227
204,94
205,105
206,227
207,94
208,30
208,91
209,142
210,142
211,94
212,94
213,195
214,94
215,94
216,94
216,141
217,94
218,227
219,94
220,91
221,94
222,94
223,94
224,94
225,94
226,94
227,94
228,94
229,6
229,105
229,142
230,94
231,94
232,94
233,66
233,261
234,94
235,105
236,105
236,142
237,91
237,105
237,142
238,94
238,216
239,207
240,211
241,94
242,6
242,30
242,105
243,105
244,94
245,105
245,227
246,114
247,94
248,207
249,94
250,94
251,216
252,216
253,216
254,94
255,227
256,94
257,94
258,216
259,94
260,105
260,142
261,142
262,30
262,105
263,94
264,227
265,227
266,94
267,227
268,7
269,94
270,94
271,94
272,94
273,105
274,105
274,227
274,290
275,105
276,105
277,94
278,94
279,94
280,94
281,105
282,94
283,105
283,142
284,94
285,94
286,22
287,105
288,105
289,254
290,105
292,105
292,255
293,30
293,105
294,105
295,105
296,105
297,94
298,216
299,94
300,216
301,94
302,227
303,227
304,227
305,94
306,216
307,227
308,94
309,94
310,227
311,94
312,227
313,227
314,94
315,94
316,227
317,94
318,94
319,227
320,227
321,94
322,94
323,94
324,94
325,227
326,94
327,227
328,94
329,227
330,94
331,227
332,94
333,94
334,94
335,94
336,94
337,227
338,94
339,94
340,227
341,227
342,94
343,227
344,94
345,227
346,94
347,94
348,105
349,105
350,105
351,105
351,142
352,105
353,94
354,105
356,216
357,216
358,105
359,105
360,105
361,105
362,94
363,134
364,94
365,105
366,216
367,216
368,105
368,216
369,94
370,94
371,94
372,105
372,142
373,94
374,94
375,105
376,216
377,94
378,227
379,94
380,94
381,94
382,94
383,94
384,94
385,94
386,94
387,94
388,94
389,105
389,142
390,94
391,30
391,105
392,94
393,94
394,94
395,94
396,94
397,94
398,94
399,94
400,94
401,105
402,105
403,94
404,94
405,94
405,142
406,94
407,94
408,94
409,94
410,94
411,94
412,94
413,94
414,94
415,94
416,94
417,94
418,94
418,105
