PaysId,terme
1,Afghanistan
2,Afrique
3,Afrique du Sud
4,Albanie
5,Algérie
6,Allemagne
7,"Allemagne, République fédérale d'"
8,"Allemande, République démocratique"
9,Amérique latine
10,Andorre
11,Angola
12,Anguilla
13,Antarctique
14,Antigua-et-Barbuda
15,Antilles
16,Antilles néerlandaises
17,Arabie saoudite
18,Argentine
19,Arménie
20,Aruba
21,Asie
22,Australie
23,Autriche
24,Azerbaïdjan
25,Bahamas
26,Bahreïn
27,Balkans
28,Bangladesh
29,Barbade
30,Belgique
31,Belize
32,Bénin
33,Bermudes
34,Bhoutan
35,Biélorussie
36,Birmanie
37,Bolivie
38,Bosnie-Herzégovine
39,Botswana
40,"Bouvet, île"
41,Brésil
42,Brunéi Darussalam
43,Bulgarie
44,Burkina Faso
45,Burundi
46,"Caïmanes, îles"
47,Cambodge
48,Cameroun
49,Canada
50,Canada : Acadie
51,Canada : Alberta
52,Canada : Colombie-Britannique
53,Canada : Île-du-Prince-Édouard
54,Canada : Manitoba
55,Canada : Nouveau-Brunswick
56,Canada : Nouvelle-Écosse
57,Canada : Ontario
58,Canada : Saskatchewan
59,Canada : Terre-Neuve
60,Canada : Territoire du Nord-Ouest
61,Canada : Yukon
62,Cap-vert
63,"Centrafricaine, République"
64,Ceylan
65,Chili
66,Chine
67,"Christmas, île"
68,Chypre
69,"Cocos (Keeling), îles des"
70,Colombie
71,Communauté des États Indépendants
72,Comores
73,Congo
74,"Cook, îles"
75,Corée
76,"Corée, République de"
77,"Corée, République populaire démocratique de"
78,Costa Rica
79,Côte d'Ivoire
80,Croatie
81,Cuba
82,Dahomey
83,Danemark
84,Djibouti
85,"Dominicaine, République"
86,Dominique
87,Égypte
88,Eire
89,Émirats arabes unis
90,Équateur
91,Espagne
92,Espagne : Catalogne
93,Estonie
94,États-Unis
95,États-Unis : Floride
96,États-Unis : Hawaï
97,Éthiopie
98,Europe
99,Europe de l'Est
100,Europe de l'Ouest
101,"Falkland, îles (Malvinas)"
102,"Féroé, îles"
103,Fidji
104,Finlande
105,France
106,France : Aquitaine
107,France : Ardèche
108,France : Bretagne
109,Gabon
110,Gambie
111,Georgie
112,Ghana
113,Gibraltar
114,Grèce
115,Grenade
116,Groenland
117,Guadeloupe
118,Guam
119,Guatemala
120,Guinée
121,Guinée équatoriale
122,Guinée-Bissau
123,Guyana
124,Guyane française
125,Haïti
126,Haute-Volta
127,"Heard et Mc Donald, îles"
128,Honduras
129,Hong-Kong
130,Hongrie
131,Îles mineures éloignées des États-Unis
132,Îles Vierges (britanniques)
133,Îles Vierges (É.-U.)
134,Inde
135,Inde : Tamil
136,Indonésie
137,"Iran, République islamique d'"
138,Irak
139,Irlande
140,Islande
141,Israël
142,Italie
143,Jamaïque
144,Japon
145,Jordanie
146,Kampuchea démocratique
147,Kazakhstan
148,Kenya
149,Kirghizstan
150,Kiribati
