person,personLabel,distinction,distinctionLabel,date
http://data.cinematheque.qc.ca/resource/Person52914,Robert Marcel Lepage,http://www.wikidata.org/entity/Q40668857,Prix René-Jodoin,2018-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person7889,Jean-Marie Drot,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,2013-01-17T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person7889,Jean-Marie Drot,http://www.wikidata.org/entity/Q908793,concours général,1946-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person138646,François Damiens,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2011-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person21085,Nicole Garcia,http://www.wikidata.org/entity/Q84000,César de la meilleure actrice dans un second rôle,1980-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person34393,Claire Simon,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-01-16T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person34393,Claire Simon,http://www.wikidata.org/entity/Q47517323,Prix SACD de la Quinzaine des réalisateurs,2008-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person97064,Luc Bourgeois,http://www.wikidata.org/entity/Q3404713,Prix Gémeaux de la meilleure interprétation pour une émission ou une série jeunesse,2003-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person145586,Sarah Harmer,http://www.wikidata.org/entity/Q6314087,prix Juno du DVD de musique de l'année,2007-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person145586,Sarah Harmer,http://www.wikidata.org/entity/Q6314039,prix Juno de l'album alternatif adulte de l'année,2005-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person145730,M. Pokora,http://www.wikidata.org/entity/Q3841600,MTV European Music Award pour le meilleur artiste français,2020-11-08T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2018-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,1994-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2018-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2010-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,1993-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2007-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2019-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q15278101,Membre de l’Ordre du Canada,1983-06-20T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q50327745,commandeur de l'Ordre de Montréal,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q15278116,officier de l'Ordre du Canada,2001-10-18T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q96336380,Prix Iris-Hommage,2020-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q104192722,Prix du Gouverneur général en arts visuels et en arts médiatiques,2001-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person17717,Alanis Obomsawin,http://www.wikidata.org/entity/Q62061080,docteur honoris causa de l'université McGill,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person19666,Fats Waller,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,1993-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person55515,Martin Duckworth,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person14708,Alain Corneau,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1991-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person14708,Alain Corneau,http://www.wikidata.org/entity/Q645595,César du meilleur film,1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person14708,Alain Corneau,http://www.wikidata.org/entity/Q24137,César du meilleur réalisateur,1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person19763,Céline Dion,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,1999-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person19763,Céline Dion,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1998-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person19763,Céline Dion,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,2008-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person48497,Sylvie Desrosiers,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,2008-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person31034,Denise Filiatrault,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2020-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person31034,Denise Filiatrault,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person31034,Denise Filiatrault,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2000-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person51127,Jacques-Rémy Girerd,http://www.wikidata.org/entity/Q1377745,Prix du cinéma européen du meilleur film d'animation,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person56042,Michel Côté,http://www.wikidata.org/entity/Q3404702,prix Gémeaux,1999-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person26910,Jean-Claude Labrecque,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person26910,Jean-Claude Labrecque,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person72259,Simon Galiero,http://www.wikidata.org/entity/Q2111259,Prix Iris,2008-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person9997,Anna McGarrigle,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person10386,René Malo,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person32896,Micheline Lanctôt,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2003-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person32896,Micheline Lanctôt,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2000-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person7184,Michel Ouellette,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1994-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person13387,Catherine Martin,http://www.wikidata.org/entity/Q13449461,Tony Award des meilleurs décors,2003-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person146019,Shy'm,http://www.wikidata.org/entity/Q3334522,NRJ Music Award de l'artiste féminine francophone de l'année,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person146019,Shy'm,http://www.wikidata.org/entity/Q3334522,NRJ Music Award de l'artiste féminine francophone de l'année,2012-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person146019,Shy'm,http://www.wikidata.org/entity/Q3334522,NRJ Music Award de l'artiste féminine francophone de l'année,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person89103,Florent Vollant,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2020-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person89103,Florent Vollant,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person12498,Pierre Mignot,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2007-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person20204,Marcel Jean,http://www.wikidata.org/entity/Q46416274,Award for outstanding contribution to animation studies,2014-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person18244,Julie Gayet,http://www.wikidata.org/entity/Q1615857,prix Romy-Schneider,1997-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person21472,Roger Frappier,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person21472,Roger Frappier,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1999-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person21472,Roger Frappier,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2010-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47456,Gabriel Yared,http://www.wikidata.org/entity/Q22235329,Oscar de la meilleure partition originale pour un film dramatique,1996-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47456,Gabriel Yared,http://www.wikidata.org/entity/Q1377753,Achievement in World Cinema Award,2010-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47456,Gabriel Yared,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1997-04-10T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47862,Michel Marc Bouchard,http://www.wikidata.org/entity/Q3406043,prix littéraires du Salon du livre du Saguenay-Lac-Saint-Jean,1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47862,Michel Marc Bouchard,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2012-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person47862,Michel Marc Bouchard,http://www.wikidata.org/entity/Q17146779,Prix SACD de la dramaturgie francophone,2011-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person97772,Xavier Dolan,http://www.wikidata.org/entity/Q844804,grand prix du Festival de Cannes,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person97772,Xavier Dolan,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person97772,Xavier Dolan,http://www.wikidata.org/entity/Q16671134,prix Jutra du meilleur film,2010-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q843219,Grammy Award de l'enregistrement de l'année,2000-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q691892,Grammy Award du meilleur album rock,2001-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q843219,Grammy Award de l'enregistrement de l'année,2001-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2002-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),1989-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2011-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q18342118,Człowiek ze Złotym Uchem,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q3362499,Panthéon de la musique canadienne,2002-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q15692068,Grammy Award du producteur de l'année (non-classique),1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),1987-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,2006-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,1987-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2005-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41007,Daniel Lanois,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,1997-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person13375,Béatrice Picard,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2012-01-01T00:00:00Z
