filmoId,titreOriginal,anneeSortie
3,HANNAH AND HER SISTERS,1986.0
5,GUILTY BY SUSPICION,1991.0
6,TACONES LEJANOS,1991.0
7,DIARY OF A HIT MAN,1991.0
8,STEPPING OUT,1991.0
9,VIE DES MORTS,1990.0
10,ONLY THE LONELY,1991.0
11,SCENES FROM A MALL,1991.0
12,JUNGLE FEVER,1991.0
13,ALICE,1990.0
14,ENFANTS DU PARADIS,1945.0
15,ANGEL,1937.0
16,ANGEL,1982.0
17,URANUS,1990.0
18,ANGE,1982.0
19,RIEN QUE DES MENSONGES,1991.0
20,M,1931.0
21,CABINET OF DR RAMIREZ,1991.0
22,MILLION,1931.0
23,À TOUT PRENDRE,1963.0
24,OBLAKO-RAÏ,1991.0
25,SHELTERING SKY,1990.0
26,METEORO VIMA TOU PELARGOU,1991.0
27,DIVINE ENFANT,1989.0
28,DIVINE,1935.0
29,DIVA,1980.0
30,EMITAÏ,1971.0
31,EMPIRE,1964.0
32,FANTÔMAS,1913.0
33,FANTÔMAS,1947.0
34,HOME FEELING : STRUGGLE FOR A COMMUNITY,1983.0
35,CROSSFIRE,1947.0
36,MORTAL THOUGHTS,1991.0
37,ZENA S KRAJOLIKOM,1976.0
38,HOMME QUI PLANTAIT DES ARBRES,1987.0
39,DANCES WITH WOLVES,1990.0
40,DING ET DONG LE FILM,1990.0
41,TEMPO DI UCCIDERE,1989.0
42,STATE OF GRACE,1990.0
43,PAPER HOUSE,1987.0
44,NEW JACK CITY,1990.0
45,ROOKIE,1990.0
46,UNE ÉPOQUE FORMIDABLE,1991.0
47,SUSHI SUSHI,1990.0
48,CHEROKEE,1990.0
49,SWITCH,1991.0
50,AKIRA,1988.0
51,DIEU VOMIT LES TIÈDES,1991.0
52,TERROR,1963.0
53,KLAGE DER KAISERIN,1988.0
54,WHAT ABOUT BOB?,1991.0
55,OTHER PEOPLE'S MONEY,1991.0
56,MAYRIG,1991.0
57,AMERICAN TAIL : FIEVEL GOES WEST,1991.0
58,MANUEL : LE FILS EMPRUNTÉ,1990.0
59,NIGHT ON EARTH,1991.0
60,ROCKETEER,1991.0
61,ROGOPAG,1963.0
62,MA VIE EST UN ENFER,1991.0
63,EVIL EMPIRE,1991.0
64,TOTALE!,1991.0
65,TOUS LES MATINS DU MONDE,1991.0
66,MAN IN THE MOON,1991.0
67,HANGIN' WITH THE HOMEBOYS,1990.0
68,J'EMBRASSE PAS,1991.0
69,CLÉS DU PARADIS,1991.0
70,DANZÓN,1991.0
71,PARIS TROUT,1991.0
72,PARIS S'ÉVEILLE,1991.0
73,TUNNELKIND,1989.0
74,ADJUSTER,1991.0
75,THUNE,1991.0
76,JESUIT JOE,1991.0
77,PARTY,1990.0
78,RESCUERS DOWN UNDER,1990.0
79,HARLEY DAVIDSON & THE MARLBORO MAN,1991.0
80,AMERICAN FLYERS,1985.0
81,TRIOMPHE DE BABAR,1990.0
82,POLLYANNA,1960.0
83,JFK,1991.0
84,LAWRENCE OF ARABIA,1962.0
85,MOON OVER PARADOR,1988.0
86,BILOXI BLUES,1988.0
87,PETIT CRIMINEL,1990.0
88,MAN WHO WOULD BE KING,1975.0
89,PEAU D'ÂNE,1970.0
90,HOOK,1991.0
91,HURDES,1932.0
92,RAIN MAN,1989.0
93,PÈRE NOËL A LES YEUX BLEUS,1966.0
94,GUNS OF NAVARONE,1961.0
95,TAXI BLUES,1989.0
96,100 RIFLES,1969.0
97,TARNISHED ANGELS,1957.0
98,OUTREMER,1990.0
99,LACENAIRE,1990.0
100,ARCANDIERS,1991.0
101,NAMA-YE NAZDIK,1990.0
102,UNDE LA SOARE E FRIG,1991.0
103,OOSTENDE,1991.0
104,VAN GOGH,1991.0
105,HOT SHOTS!,1991.0
106,RIFF-RAFF,1991.0
107,UN HOMME ET DEUX FEMMES,1991.0
108,IRON & SILK,1988.0
109,MASHGH-E SHAB,1989.0
110,MADAME BOVARY,1991.0
111,POINT BREAK,1991.0
112,FEIYING GAIWAK,1991.0
113,REISE DER HOFFNUNG,1990.0
114,PROOF,1991.0
115,MALINA,1991.0
116,ÁNGELES,1989.0
117,HIGH SPIRITS,1988.0
118,LINGUINI INCIDENT,1990.0
119,EUROPA,1991.0
120,FLEURS DU MAL,1991.0
121,BELLE NOISEUSE,1991.0
122,HOMME QUI A PERDU SON OMBRE,1991.0
123,RAMBLING ROSE,1991.0
124,PORTABORSE,1991.0
125,FREUD FLYTTAR HEMIFRAN,1991.0
126,THELMA & LOUISE,1991.0
127,V.I. WARSHAWSKI,1991.0
128,JACQUOT DE NANTES,1991.0
129,NUIT AMÉRICAINE,1973.0
130,QUATRE CENTS COUPS,1959.0
131,FEMME D'À CÔTÉ,1981.0
132,TIREZ SUR LE PIANISTE,1960.0
133,PEAU DOUCE,1964.0
134,JULES ET JIM,1962.0
135,DERNIER MÉTRO,1980.0
136,BAISERS VOLÉS,1968.0
137,DEUX ANGLAISES ET LE CONTINENT,1971.0
138,MARIÉE ÉTAIT EN NOIR,1968.0
139,UNE BELLE FILLE COMME MOI,1972.0
140,FAHRENHEIT 451,1966.0
141,SIRÈNE DU MISSISSIPPI,1969.0
142,DOMICILE CONJUGAL,1970.0
143,ENFANT SAUVAGE,1970.0
144,HISTOIRE D'ADÈLE H.,1975.0
145,ARGENT DE POCHE,1976.0
146,AMOUR EN FUITE,1979.0
147,HOMME QUI AIMAIT LES FEMMES,1977.0
148,CHAMBRE VERTE,1978.0
149,VIVEMENT DIMANCHE!,1983.0
150,LATINO BAR,1990.0
151,WHITE FANG,1991.0
152,AMANTS DU PONT-NEUF,1991.0
153,"MON PÈRE, CE HÉROS",1991.0
154,BIS ANS ENDE DER WELT,1991.0
155,FIERRO... L'ÉTÉ DES SECRETS,1989.0
156,VOLERE VOLARE,1990.0
157,REGARDING HENRY,1991.0
158,MOHAMED BERTRAND-DUVAL,1991.0
159,TERMINATOR 2 : JUDGMENT DAY,1991.0
160,TWO MOON JUNCTION,1988.0
161,PROSPERO'S BOOKS,1991.0
162,SHATTERED,1990.0
163,RAOSAHEB,1986.0
164,DYING YOUNG,1991.0
165,AUTRE,1990.0
166,INDIAN RUNNER,1990.0
167,FISHER KING,1991.0
168,SEN NO RIKYU,1989.0
169,ROSENKÖNIG,1986.0
170,MARTHA UND ICH,1989.0
171,BLONDE VENUS,1932.0
172,COMPRARSI LA VITA,1990.0
173,TENDER,1991.0
174,URGA,1991.0
175,VOLEUR D'ENFANTS,1991.0
176,BARTON FINK,1991.0
177,BACKDRAFT,1991.0
178,NUIT ET JOUR,1991.0
179,MEETING VENUS,1991.0
180,"AY, CARMELA!",1990.0
181,TWENTY-ONE,1990.0
182,LAAFI,1991.0
183,PASPORT,1990.0
184,PRETTY WOMAN,1990.0
185,RETURN TO THE BLUE LAGOON,1991.0
186,MARRYING MAN,1991.0
187,MISSISSIPPI MASALA,1991.0
188,HARD TO BE A GOD,1986.0
189,J'ENTENDS PLUS LA GUITARE,1991.0
190,KRAYS,1990.0
191,RAGE IN HARLEM,1991.0
192,MIAMI BLUES,1989.0
193,PROCESSO DO REI,1990.0
194,NAVY SEALS,1990.0
195,VIEILLE QUI MARCHAIT DANS LA MER,1991.0
196,DOUBLE IMPACT,1991.0
197,FX 2 : THE DEADLY ART OF ILLUSION,1991.0
198,OSCAR,1990.0
199,FAMILY PLOT,1976.0
200,DIAL M FOR MURDER,1954.0
201,JÉSUS DE MONTRÉAL,1989.0
202,MARKED FOR DEATH,1990.0
203,FOOLS OF FORTUNE,1990.0
204,ROBIN HOOD : PRINCE OF THIEVES,1991.0
205,VALSE DES PIGEONS,1990.0
206,CHICAGO JOE AND THE SHOWGIRL,1990.0
207,LIFE STINKS,1991.0
208,BOOM BOOM,1990.0
209,CARNE,1991.0
210,ATTO DI DOLORE,1989.0
211,HEATHERS,1988.0
212,KING RALPH,1991.0
213,MEET THE FEEBLES,1989.0
214,REVENGE,1990.0
215,ONCE AROUND,1990.0
216,COVER UP,1990.0
217,DON'T TELL HER IT'S ME,1990.0
218,"ROALD DAHL'S DANNY, THE CHAMPION OF THE WORLD",1988.0
219,TEENAGE MUTANT NINJA TURTLES 2 : THE SECRET OF OOZE,1991.0
220,EDADES DE LULÚ,1990.0
221,MILES FROM HOME,1988.0
222,GRAVEYARD SHIFT,1990.0
223,HARD WAY,1991.0
224,MAN INSIDE,1990.0
225,LEATHERFACE : TEXAS CHAINSAW MASSACRE 3,1990.0
226,LOST ANGELS,1989.0
227,PERFECT WEAPON,1991.0
228,DISHONORED,1931.0
229,CELLINI,1989.0
230,SPACED INVADERS,1990.0
231,NOBODY'S PERFECT,1989.0
232,PROBLEM CHILD,1990.0
233,TIEN SHIA DE YI,1984.0
234,KISS BEFORE DYING,1991.0
235,TOUJOURS SEULS,1991.0
236,JALOUSIE,1990.0
237,VÉRAZ,1991.0
238,JULIA HAS TWO LOVERS,1990.0
239,WINGS OF FAME,1989.0
240,PRZESLUCHANIE,1982.0
241,DISTURBED,1990.0
242,TOTO LE HÉROS,1991.0
243,SALE COMME UN ANGE,1991.0
244,ROBIN HOOD,1990.0
245,INNOCENT LIES,1995.0
246,DRAPETIS,1991.0
247,HAND THAT ROCKS THE CRADLE,1991.0
248,HOW TO SURVIVE A BROKEN HEART,1991.0
249,THIN BLUE LINE,1988.0
250,DEAD POETS SOCIETY,1989.0
251,ÉMOTION DISSONANTE,1984.0
252,PASSIFLORA,1985.0
253,DERNIER GLACIER,1984.0
254,DOWN BY LAW,1986.0
255,MISSION,1986.0
256,TAXI DRIVER,1976.0
257,BIG SLEEP,1946.0
258,ASSASSIN JOUAIT DU TROMBONE,1991.0
259,WEEKEND AT BERNIE'S,1989.0
260,VERSO SERA,1991.0
261,TURNÉ,1990.0
262,UN TYPE BIEN,1990.0
263,HUDSON HAWK,1991.0
264,HIDDEN AGENDA,1990.0
265,RACHEL PAPERS,1989.0
266,DUCK TALES : THE MOVIE - TREASURE OF THE LOST LAMP,1990.0
267,JEWEL IN THE CROWN,
268,MOON 44,1990.0
269,CITY SLICKERS,1990.0
270,WARLOCK,1989.0
271,OMEN 4 : THE AWAKENING,1991.0
272,COMMITMENTS,1991.0
273,HÔTEL DU PARC,
274,AMANT,1992.0
275,LUNE FROIDE,1991.0
276,SECRET DE SARAH TOMBELAINE,1991.0
277,LAND OF THE PHARAOHS,1955.0
278,TWO JAKES,1990.0
279,BILLY BATHGATE,1991.0
280,CAPE FEAR,1991.0
281,SALAMMBÔ,1925.0
282,BOYZ'N THE HOOD,1991.0
283,NUITS DE RASPOUTINE,1960.0
284,GLORY,1989.0
285,TOO LATE BLUES,1962.0
286,CRY IN THE DARK,1988.0
287,DADDY NOSTALGIE,1990.0
288,AUTRICHIENNE,1990.0
289,SOMMARLEK,1951.0
